Months,L,M,S,p3,p10,p25,p50,p75,p85,p97
9.88911704,-0.3032,16.6326,0.08865,14.1357895,14.87479239,15.67562026,16.6326,17.66714664,18.256999,19.73628969
9.921971256,-0.3043,16.6284,0.08864,14.13267523,14.87132137,15.67179581,16.6284,17.66259965,18.2522822,19.73123831
9.954825462,-0.3053,16.6242,0.08863,14.12954224,14.86784099,15.66796855,16.6242,17.65804946,18.24755743,19.72615752
9.987679668,-0.3064,16.62,0.08862,14.12642729,14.86436958,15.66414394,16.62,17.65350253,18.24284069,19.72110608
10.02053388,-0.3075,16.6157,0.0886,14.12347967,14.86099256,15.66032872,16.6157,17.64872815,18.23781969,19.71554511
10.05338809,-0.3086,16.6115,0.08859,14.12036392,14.85752069,15.65650391,16.6115,17.64418131,18.23310304,19.71049363
10.0862423,-0.3096,16.6073,0.08858,14.1172295,14.85403948,15.6526763,16.6073,17.63963127,18.22837842,19.70541278
10.11909651,-0.3107,16.603,0.08857,14.11402805,14.85047777,15.64875708,16.603,17.63497828,18.22355206,19.7002426
10.15195072,-0.3118,16.5988,0.08856,14.11091126,14.84700531,15.64493202,16.5988,17.63043153,18.21883549,19.69519104
10.18480492,-0.3128,16.5945,0.08855,14.10769083,14.84343408,15.64100991,16.5945,17.62577538,18.21400121,19.68999147
10.21765914,-0.3139,16.5903,0.08854,14.10457335,14.83996122,15.6371847,16.5903,17.62122869,18.20928469,19.68493985
10.25051335,-0.3149,16.586,0.08852,14.10160426,14.83657318,15.63336593,16.586,17.61645151,18.20425619,19.67934963
10.28336755,-0.316,16.5817,0.08851,14.09840097,14.83301042,15.62944626,16.5817,17.6117987,18.19943,19.67417934
10.31622177,-0.317,16.5774,0.0885,14.09517911,14.82943835,15.62552379,16.5774,17.60714271,18.19459589,19.66897973
10.34907598,-0.3181,16.5731,0.08849,14.09197513,14.82587519,15.62160395,16.5731,17.60248997,18.18976976,19.66380939
10.38193018,-0.3191,16.5688,0.08848,14.08875259,14.82230273,15.61768132,16.5688,17.59783404,18.18493571,19.65860974
10.4147844,-0.3201,16.5645,0.08847,14.08552973,14.81873009,15.61375861,16.5645,17.59317815,18.18010169,19.65341008
10.4476386,-0.3212,16.5602,0.08846,14.08232472,14.81516634,15.60983853,16.5602,17.58852551,18.17527566,19.64823965
