Month,L,M,S,C3,C10,C25,C50,C75,C90,C97
86,1,122.675,0.04358,112.6199454,115.8235991,119.0690587,122.675,126.2809413,129.5264009,132.7300546
87,1,123.1429,0.04366,113.0309655,116.2527418,119.5165605,123.1429,126.7692395,130.0330582,133.2548345
88,1,123.6092,0.04374,113.4403764,116.6802782,119.9624589,123.6092,127.2559411,130.5381218,133.7780236
89,1,124.0736,0.04382,113.8479035,117.1059257,120.4064632,124.0736,127.7407368,131.0412743,134.2992965
90,1,124.5361,0.0439,114.2535478,117.5296849,120.8485736,124.5361,128.2236264,131.5425151,134.8186522
91,1,124.9964,0.04398,114.6570349,117.9512732,121.2884994,124.9964,128.7043006,132.0415268,135.3357651
92,1,125.4545,0.04406,115.0583658,118.3706913,121.7262409,125.4545,129.1827591,132.5383087,135.8506342
93,1,125.9104,0.04414,115.4575415,118.78794,122.1617984,125.9104,129.6590016,133.03286,136.3632585
94,1,126.364,0.04422,115.8544712,119.2029256,122.5950753,126.364,130.1329247,133.5250744,136.8735288
95,1,126.8156,0.0443,116.2494311,119.6159316,123.0263631,126.8156,130.6048369,134.0152684,137.3817689
96,1,127.2651,0.04438,116.6423304,120.0268645,123.4555649,127.2651,131.0746351,134.5033355,137.8878696
97,1,127.7129,0.04446,117.0335366,120.4361021,123.8830693,127.7129,131.5427307,134.9896979,138.3922634
98,1,128.159,0.04454,117.4230504,120.843645,124.3088764,128.159,132.0091236,135.474355,138.8949496
99,1,128.6034,0.04462,117.8108727,121.2494935,124.7329865,128.6034,132.4738135,135.9573065,139.3959273
100,1,129.0466,0.0447,118.1974621,121.6541197,125.1558848,129.0466,132.9373152,136.4390803,139.8957379
101,1,129.4887,0.04478,118.5829108,122.0576181,125.5776685,129.4887,133.3997315,136.9197819,140.3944892
102,1,129.93,0.04487,118.9650502,122.4586068,125.9977523,129.93,133.8622477,137.4013932,140.8949498
103,1,130.3705,0.04495,119.3487599,122.8604105,126.4178862,130.3705,134.3231138,137.8805895,141.3922401
104,1,130.8103,0.04503,119.7316963,123.2614643,126.8372938,130.8103,134.7833062,138.3591357,141.8889037
105,1,131.2495,0.04511,120.1139512,123.6618626,127.2560722,131.2495,135.2429278,138.8371374,142.3850488
106,1,131.6884,0.04519,120.4957995,124.0618882,127.6745123,131.6884,135.7022877,139.3149118,142.8810005
107,1,132.1269,0.04527,120.8771498,124.461447,128.0925173,132.1269,136.1612827,139.792353,143.3766502
108,1,132.5652,0.04535,121.2581851,124.8607275,128.5102811,132.5652,136.6201189,140.2696725,143.8722149
109,1,133.0031,0.04543,121.6387228,125.2595415,128.9276098,133.0031,137.0785902,140.7466585,144.3674772
110,1,133.4404,0.04551,122.01858,125.6577006,129.3443097,133.4404,137.5364903,141.2230994,144.86222
111,1,133.877,0.04559,122.3976657,126.055111,129.7602839,133.877,137.9937161,141.698889,145.3563343
112,1,134.313,0.04566,122.7785976,126.4535882,130.1765354,134.313,138.4494646,142.1724118,145.8474024
113,1,134.7483,0.04574,123.1562407,126.8496014,130.5911585,134.7483,138.9054415,142.6469986,146.3403593
114,1,135.1829,0.04582,123.533113,127.2448665,131.0050562,135.1829,139.3607438,143.1209335,146.832687
115,1,135.6168,0.04589,123.9117657,127.6411216,131.4191434,135.6168,139.8144566,143.5924784,147.3218343
116,1,136.0501,0.04597,124.2871972,128.0349906,131.8316906,136.0501,140.2685094,144.0652094,147.8130028
117,1,136.4829,0.04604,124.6646085,128.4300494,132.2446272,136.4829,140.7211728,144.5357506,148.3011915
118,1,136.9153,0.04612,125.0389655,128.8228995,132.6562118,136.9153,141.1743882,145.0077005,148.7916345
119,1,137.3474,0.04619,125.4155016,129.2171389,133.0683855,137.3474,141.6264145,145.4776611,149.2792984
120,1,137.7795,0.04626,125.791924,129.6113008,133.4805184,137.7795,142.0784816,145.9476992,149.767076
121,1,138.2119,0.04633,126.1685065,130.0056674,133.8929011,138.2119,142.5308989,146.4181326,150.2552935
122,1,138.6452,0.0464,126.5457965,130.4008028,134.3061148,138.6452,142.9842852,146.8895972,150.7446035
123,1,139.0797,0.04647,126.9240676,130.7969891,134.72045,139.0797,143.43895,147.3624109,151.2353324
124,1,139.5158,0.04654,127.3036842,131.194602,135.136294,139.5158,143.895306,147.836998,151.7279158
125,1,139.954,0.04661,127.6851019,131.5941111,135.5541307,139.954,144.3538693,148.3138889,152.2228981
126,1,140.3948,0.04667,128.0714165,131.9977854,135.9753912,140.3948,144.8142088,148.7918146,152.7181835
127,1,140.8387,0.04674,128.4578103,132.4025013,136.3986683,140.8387,145.2787317,149.2748987,153.2195897
128,1,141.2859,0.0468,128.8497539,132.8120502,136.8260523,141.2859,145.7457477,149.7597498,153.7220461
129,1,141.7368,0.04686,129.2449705,133.2250082,137.2569831,141.7368,146.2166169,150.2485918,154.2286295
130,1,142.1916,0.04692,129.6436412,133.6415623,137.691654,142.1916,146.691546,150.7416377,154.7395588
131,1,142.6501,0.04698,130.0455823,134.0615237,138.1298709,142.6501,147.1703291,151.2386763,155.2546177
132,1,143.1126,0.04703,130.4537577,134.4870075,138.572889,143.1126,147.652311,151.7381925,155.7714423
133,1,143.5795,0.04709,130.863156,134.9147265,139.0191678,143.5795,148.1398322,152.2442735,156.295844
134,1,144.0511,0.04714,131.2794415,135.3486359,139.4709309,144.0511,148.6312691,152.7535641,156.8227585
135,1,144.5276,0.04719,131.7001034,135.7870884,139.9274063,144.5276,149.1277937,153.2681116,157.3550966
136,1,145.0093,0.04723,132.128141,136.2322234,140.3898619,145.0093,149.6287381,153.7863766,157.890459
137,1,145.4964,0.04728,132.5582895,136.6805173,140.8565379,145.4964,150.1362621,154.3122827,158.4345105
138,1,145.9891,0.04732,132.9961937,137.1358801,141.3295871,145.9891,150.6486129,154.8423199,158.9820063
139,1,146.4878,0.04736,133.4394893,137.5968281,141.808418,146.4878,151.167182,155.3787719,159.5361107
140,1,146.9927,0.0474,133.8883571,138.0635484,142.2932237,146.9927,151.6921763,155.9218516,160.0970429
141,1,147.5041,0.04744,134.343069,138.5363218,142.7842942,147.5041,152.2239058,156.4718782,160.665131
142,1,148.0224,0.04747,134.8067718,139.0174199,143.2830146,148.0224,152.7617854,157.0273801,161.2380282
143,1,148.5478,0.0475,135.2768817,139.5051459,143.7885865,148.5478,153.3070135,157.5904541,161.8187183
144,1,149.0807,0.04753,135.753762,139.9998746,144.3013967,149.0807,153.8600033,158.1615254,162.407638
